"Income" "Loan" "Default" "Age" "Gender" "Education" "Children" "Employment" "Adress" "Phone" "Customer" "Term" "Limit"
28.03 10.786 0 28 "F" "S" 0 23 115 "Y" "N" 24 11.513
28.14 10.673 0 23 "M" "M" 0 11 1 "Y" "N" 24 11.002
28.17 10.626 0 31 "F" "H" 1 28 147 "Y" "N" 24 10.463
28.18 10.591 1 49 "M" "H" 2 115 144 "Y" "N" 24 12.429
28.19 10.526 0 52 "F" "M" 2 77 360 "Y" "E" 24 10.463
28.2 10.626 0 26 "F" "H" 0 14 228 "Y" "N" 24 11.513
28.21 10.587 0 48 "M" "M" 2 144 319 "Y" "N" 24 12.044
28.24 10.546 1 34 "M" "H" 0 43 216 "Y" "N" 24 10.597
28.3 10.783 0 28 "F" "H" 1 9 36 "Y" "N" 24 12.766
28.38 10.725 0 52 "M" "M" 2 158 396 "Y" "N" 24 11.513
28.39 10.627 1 38 "M" "M" 1 33 225 "Y" "N" 24 11.513
28.42 10.614 0 43 "F" "H" 1 80 216 "Y" "N" 24 12.206
28.43 10.575 0 37 "M" "H" 0 24 216 "Y" "N" 24 11.082
28.46 10.524 1 44 "F" "H" 0 46 14 "Y" "N" 24 12.101
28.47 10.648 1 47 "F" "M" 2 222 86 "Y" "N" 24 11.002
28.49 10.687 0 50 "F" "H" 1 34 146 "Y" "N" 24 11.849
28.501 10.545 0 21 "F" "M" 0 35 72 "Y" "N" 24 10.82
28.521 10.532 0 53 "F" "H" 2 73 348 "Y" "N" 24 11.849
28.541 10.865 0 24 "M" "H" 0 40 288 "Y" "N" 24 11.408
28.551 11.032 0 25 "M" "M" 0 36 300 "Y" "N" 24 11.775
34.069 11.881 0 41 "M" "S" 1 9 89 "N" "E" 24 8.517
28.581 10.616 0 29 "M" "H" 0 39 24 "Y" "N" 24 12.899
28.601 11.171 0 43 "M" "S" 1 11 127 "Y" "N" 24 12.612
28.621 10.662 0 28 "F" "H" 0 21 144 "Y" "N" 24 11.002
28.651 10.519 0 23 "M" "H" 0 4 180 "Y" "N" 24 10.714
28.671 10.907 1 42 "M" "H" 1 60 72 "Y" "N" 24 11.983
33.176 11.658 0 26 "M" "M" 0 24 1 "N" "N" 24 8.294
28.681 10.516 0 28 "M" "H" 2 18 90 "Y" "N" 24 10.597
28.691 11.124 0 47 "F" "H" 1 84 94 "Y" "N" 24 12.899
28.701 10.618 0 31 "M" "H" 1 113 107 "Y" "N" 24 11.156
28.721 10.663 0 38 "M" "H" 3 103 60 "Y" "N" 24 12.468
28.751 10.575 0 25 "M" "M" 0 9 300 "Y" "N" 24 12.429
28.781 10.517 1 49 "F" "H" 2 255 122 "Y" "N" 24 12.206
28.821 10.859 0 27 "M" "H" 0 18 5 "Y" "N" 24 11.918
28.841 10.688 0 30 "F" "H" 0 14 98 "Y" "N" 24 11.983
28.851 10.613 0 35 "F" "H" 1 45 55 "Y" "N" 24 12.612
36.841 12.574 0 30 "M" "H" 1 19 41 "Y" "N" 24 9.21
28.861 10.834 0 33 "F" "S" 1 9 96 "Y" "N" 24 11.695
28.881 10.631 1 24 "M" "N" 0 60 120 "Y" "N" 24 10.938
28.891 10.603 0 34 "M" "H" 2 42 22 "N" "N" 24 11.513
28.911 10.89 0 43 "F" "M" 1 15 276 "Y" "N" 24 11.918
28.921 10.878 0 24 "M" "H" 0 26 169 "Y" "N" 24 11.29
28.931 10.743 0 49 "M" "M" 2 54 180 "Y" "N" 24 11.775
28.941 11.011 0 22 "F" "N" 0 19 80 "Y" "N" 24 11.775
35.949 12.351 0 27 "F" "H" 1 35 30 "Y" "N" 24 8.987
38.721 13.044 0 35 "M" "H" 1 156 51 "Y" "E" 24 9.68
28.951 10.705 0 35 "F" "M" 1 17 96 "Y" "N" 24 12.899
29.011 10.565 1 44 "M" "M" 1 24 24 "Y" "E" 24 11.51
29.031 10.605 0 51 "F" "M" 1 78 621 "N" "N" 24 10.82
29.051 11.093 0 23 "M" "H" 0 72 240 "Y" "E" 24 11.918
29.061 10.78 0 52 "F" "M" 2 21 33 "Y" "N" 24 12.899
29.071 10.841 0 29 "F" "H" 0 24 151 "Y" "N" 24 12.899
29.081 10.686 0 26 "F" "H" 0 24 65 "Y" "N" 24 12.388
29.091 11.077 1 35 "M" "H" 0 9 240 "Y" "N" 24 10.82
29.121 11.01 0 37 "F" "H" 0 47 96 "Y" "E" 24 11.156
29.141 10.523 0 26 "F" "H" 0 8 17 "Y" "N" 24 11.225
29.171 10.509 0 58 "M" "M" 1 173 149 "Y" "N" 24 11.918
29.181 10.744 0 24 "F" "H" 0 54 48 "Y" "N" 24 11.288
29.191 10.545 0 31 "M" "H" 1 19 84 "N" "E" 24 11.513
35.415 12.218 0 28 "M" "M" 0 22 143 "Y" "N" 24 8.854
54.369 13.592 0 40 "F" "N" 1 20 156 "Y" "N" 24 13.592
29.211 11.006 0 27 "M" "M" 1 24 132 "Y" "N" 24 11.156
29.221 10.541 0 24 "M" "M" 0 9 24 "Y" "N" 24 11.775
29.231 10.554 0 37 "M" "H" 2 23 1 "Y" "E" 24 12.409
29.241 10.58 0 24 "F" "H" 0 19 290 "Y" "N" 24 12.206
29.251 10.827 0 39 "F" "N" 1 33 216 "Y" "N" 24 11.513
29.261 10.593 0 48 "F" "H" 1 180 300 "Y" "E" 24 11.002
29.271 10.607 0 29 "F" "H" 1 21 129 "Y" "N" 24 10.309
29.291 10.526 0 22 "M" "M" 0 25 180 "Y" "N" 24 10.463
29.301 10.643 0 48 "F" "M" 2 57 156 "Y" "N" 24 11.101
29.321 10.79 0 36 "M" "H" 1 40 86 "Y" "N" 24 11.918
29.341 10.727 0 27 "M" "H" 0 9 132 "Y" "N" 24 11.918
29.361 10.55 0 26 "M" "H" 0 25 72 "Y" "N" 24 11.736
29.391 10.631 0 27 "F" "H" 1 12 13 "Y" "N" 24 10.309
29.411 11.006 1 25 "M" "M" 0 21 108 "Y" "N" 24 10.82
29.431 10.519 1 23 "M" "M" 0 10 10 "N" "N" 24 11.918
29.461 11.292 0 35 "F" "H" 1 198 64 "Y" "N" 24 10.127
29.471 10.673 0 42 "M" "M" 1 27 248 "Y" "N" 24 11.002
29.502 10.81 0 46 "F" "H" 2 108 197 "Y" "N" 24 10.82
29.512 10.672 0 45 "M" "S" 2 83 9 "Y" "N" 24 11.002
29.522 10.585 1 26 "F" "H" 0 11 11 "N" "N" 24 10.82
29.562 10.99 0 26 "F" "H" 1 90 51 "Y" "N" 24 11.29
29.572 10.507 0 31 "M" "M" 0 17 34 "Y" "N" 24 11.695
29.592 11.259 0 49 "F" "H" 2 22 168 "Y" "E" 24 10.82
29.602 10.828 1 26 "F" "H" 0 36 34 "Y" "N" 24 11.408
29.612 10.631 0 31 "M" "H" 1 21 372 "Y" "N" 24 12.044
29.622 11.023 0 47 "M" "M" 3 88 204 "Y" "N" 24 11.513
29.632 10.974 0 28 "M" "H" 1 22 132 "Y" "N" 24 11.082
29.642 10.525 0 29 "M" "S" 1 18 7 "Y" "N" 24 12.899
29.652 11.375 0 28 "M" "H" 1 84 33 "N" "N" 24 11.13
29.662 10.639 0 24 "F" "H" 0 25 24 "Y" "N" 24 10.373
29.682 10.677 1 22 "F" "H" 0 6 230 "Y" "N" 24 10.309
29.692 10.785 0 32 "F" "M" 1 57 120 "N" "N" 24 10.19
29.702 11.418 0 42 "M" "H" 2 149 72 "Y" "E" 24 12.737
29.712 10.76 0 28 "M" "H" 1 98 89 "Y" "N" 24 11.29
29.722 10.868 0 47 "M" "M" 2 153 180 "Y" "N" 24 10.309
29.732 10.71 0 44 "F" "M" 2 235 285 "N" "N" 24 11.408
29.742 10.635 0 27 "M" "M" 1 22 132 "Y" "N" 24 10.463
29.752 10.728 0 50 "M" "H" 0 102 90 "Y" "N" 24 12.206
29.762 10.977 0 25 "F" "H" 0 60 93 "Y" "N" 24 11.918
29.772 11.366 0 22 "M" "N" 0 21 264 "N" "N" 24 10.597
29.782 11.054 0 50 "M" "H" 1 100 36 "Y" "N" 24 11.601
29.792 11.11 0 24 "M" "H" 0 24 288 "Y" "N" 24 11.35
29.812 11.048 1 41 "M" "M" 0 25 8 "Y" "N" 24 11.002
29.822 10.821 0 33 "M" "M" 2 108 312 "N" "N" 24 11.775
29.842 10.917 0 25 "M" "H" 1 8 58 "Y" "N" 24 10.915
29.852 10.715 0 25 "M" "M" 0 8 24 "Y" "E" 24 10.82
29.862 11.205 0 52 "M" "N" 2 56 18 "Y" "N" 24 11.918
39.614 9.903 0 26 "F" "H" 0 47 48 "Y" "N" 24 9.903
29.872 10.538 1 26 "F" "H" 1 9 2 "Y" "N" 24 12.612
29.882 10.641 0 28 "F" "H" 1 12 30 "Y" "N" 24 12.766
29.902 10.722 0 22 "M" "H" 0 13 89 "Y" "N" 24 10.82
29.912 10.899 0 29 "F" "H" 0 54 60 "Y" "N" 24 12.206
29.922 10.561 0 42 "F" "H" 1 22 66 "Y" "N" 24 12.034
29.932 11.032 0 27 "M" "H" 0 7 324 "Y" "N" 24 11.156
29.962 11.223 0 31 "M" "H" 1 22 80 "Y" "N" 24 11.513
29.982 10.919 1 44 "M" "H" 2 20 125 "Y" "N" 24 11.918
29.992 10.684 0 39 "F" "H" 1 48 18 "Y" "N" 24 11.513
30.002 10.923 0 25 "F" "N" 0 38 133 "N" "N" 24 10.309
30.012 11.31 0 45 "F" "H" 2 258 144 "Y" "N" 24 10.82
30.022 11.281 1 28 "M" "M" 2 14 96 "Y" "N" 24 12.388
30.032 10.709 0 42 "M" "H" 2 36 204 "Y" "N" 24 11.813
30.052 11.562 0 38 "M" "H" 0 64 12 "Y" "N" 24 11.695
30.062 11.016 0 35 "F" "M" 1 15 229 "Y" "N" 24 11.411
30.072 10.98 0 22 "M" "N" 0 17 90 "N" "N" 24 10.309
39.614 9.903 0 33 "M" "H" 2 43 149 "N" "N" 24 9.903
30.082 10.817 0 26 "F" "H" 0 67 36 "Y" "N" 24 11.002
30.092 10.976 0 27 "F" "H" 1 24 120 "Y" "N" 24 11.513
30.102 10.776 1 27 "M" "M" 1 29 133 "Y" "N" 24 11.35
30.112 10.954 0 31 "M" "S" 1 84 60 "Y" "N" 24 10.309
30.122 10.71 1 46 "F" "M" 2 22 144 "Y" "N" 24 12.206
30.142 11.132 0 25 "M" "H" 0 33 240 "Y" "N" 24 10.597
34.226 11.92 0 52 "F" "H" 2 49 55 "Y" "N" 24 8.556
30.152 11.294 0 49 "F" "M" 2 156 276 "Y" "N" 24 11.408
